filepath,file_size,num_sections,export_count,avg_entropy,label
C:\Windows\System32\bootsvc.dll,307264,7,20,2.223269024,0
C:\Windows\System32\bootux.dll,4960256,8,12,2.812167972,0
C:\Windows\System32\BOOTVID.DLL,62784,9,12,1.217471579,0
C:\Windows\System32\bridgeres.dll,12288,2,0,0.836514022,0
C:\Windows\System32\BrokerFileDialog.dll,139264,7,3,3.006107209,0
C:\Windows\System32\BrokerLib.dll,217088,8,37,2.727045585,0
C:\Windows\System32\browcli.dll,90112,8,12,1.8970206,0
C:\Windows\System32\browserbroker.dll,304560,8,1,2.815136414,0
C:\Windows\System32\browseui.dll,40960,7,27,1.402508061,0
C:\Windows\System32\BTAGService.dll,1126400,9,2,3.93138447,0
C:\Windows\System32\BthAvctpSvc.dll,536576,8,4,4.102903621,0
C:\Windows\System32\BthAvrcp.dll,417792,8,2,3.239923685,0
C:\Windows\System32\BthAvrcpAppSvc.dll,86016,7,2,2.255088941,0
C:\Windows\System32\bthci.dll,122880,7,2,2.578982277,0
C:\Windows\System32\BthMtpContextHandler.dll,57344,7,4,2.046904666,0
C:\Windows\System32\bthpanapi.dll,122880,7,17,2.652959937,0
C:\Windows\System32\BthpanContextHandler.dll,217088,7,4,3.070407303,0
C:\Windows\System32\BthRadioMedia.dll,172032,8,4,2.379051349,0
C:\Windows\System32\bthserv.dll,307200,9,1,2.903240667,0
C:\Windows\System32\BthTelemetry.dll,200704,9,7,2.499701542,0
C:\Windows\System32\btpanui.dll,159744,7,4,2.611135652,0
C:\Windows\System32\BWContextHandler.dll,90112,7,4,2.451057703,0
C:\Windows\System32\c4d66f00-b6f0-4439-ac9b-c5ea13fe54d7_HyperV-ComputeCore.dll,26016,4,0,0.740895514,0
C:\Windows\System32\cabapi.dll,139264,7,14,2.492696926,0
C:\Windows\System32\cabinet.dll,175024,8,26,2.2077862,0
C:\Windows\System32\cabview.dll,221184,8,3,2.704320305,0
C:\Windows\System32\CallButtons.dll,118784,7,3,2.560253379,0
C:\Windows\System32\CallButtons.ProxyStub.dll,49152,7,4,1.604459241,0
C:\Windows\System32\CallHistoryClient.dll,184320,8,11,2.68364314,0
C:\Windows\System32\CameraCaptureUI.dll,151552,8,3,2.530185762,0
C:\Windows\System32\camext.dll,51064,6,10,1.685963965,0
C:\Windows\System32\CapabilityAccessHandlers.dll,131072,8,2,2.21286921,0
C:\Windows\System32\CapabilityAccessManager.dll,1392640,8,4,3.363459457,0
C:\Windows\System32\CapabilityAccessManagerClient.dll,397312,8,3,2.959038064,0
C:\Windows\System32\capauthz.dll,402280,9,9,2.867845058,0
C:\Windows\System32\capiprovider.dll,118784,7,4,2.641759543,0
C:\Windows\System32\capisp.dll,49152,7,5,1.733205607,0
C:\Windows\System32\CaptureService.dll,241664,7,1,3.232256738,0
C:\Windows\System32\CastingShellExt.dll,122880,8,7,2.183907105,0
C:\Windows\System32\CastLaunch.dll,126976,8,2,2.361493185,0
C:\Windows\System32\catsrv.dll,507904,8,13,2.703471667,0
C:\Windows\System32\catsrvps.dll,69632,7,5,2.128471725,0
C:\Windows\System32\catsrvut.dll,516096,8,38,3.258129703,0
C:\Windows\System32\CBDHSvc.dll,933888,8,2,3.272564931,0
C:\Windows\System32\cca.dll,110592,7,4,2.660185727,0
C:\Windows\System32\cdd.dll,335872,12,1,3.12171465,0
C:\Windows\System32\cdosys.dll,1032192,7,4,4.015186777,0
C:\Windows\System32\cdp.dll,5849088,8,135,3.997411487,0
C:\Windows\System32\cdprt.dll,2813952,8,3,3.518094989,0
C:\Windows\System32\cdpsvc.dll,864256,8,2,3.392987536,0
C:\Windows\System32\cdpusersvc.dll,724992,8,2,3.454914171,0
